Symbol,logFC,logCPM,PValue,FDR
CG14419,0.980890848,1.435682832,0.241643287,0.472891166
CG1847,-0.298007774,5.10965906,0.241724368,0.472952021
PGAP3,-0.292211428,5.099814404,0.24187211,0.473143251
CG4942,0.411406535,2.803523328,0.241983467,0.473258214
mthl10,0.270153192,5.707447156,0.242030913,0.473258214
CG5445,0.250024696,6.427553178,0.242161982,0.473359942
Hrb98DE,0.297288408,8.695105767,0.242182993,0.473359942
JTBR,0.331721513,4.68734549,0.242298385,0.473487674
Ccm3,0.211360613,6.899185349,0.242444756,0.473675879
arr,0.353808534,4.552548338,0.242495132,0.473676494
CG12923,-0.423589981,1.45841057,0.242555159,0.473695957
vap,0.273794335,5.817199297,0.242674058,0.473830362
HP4,0.598339858,4.452125451,0.24282239,0.47402217
Pex19,-0.211837669,6.845537383,0.242894167,0.474064482
Abl,0.307289474,6.435569892,0.242950383,0.474076413
Khc,0.200964444,7.623276175,0.243275899,0.474613723
Upf3,0.426080185,4.074502228,0.243356236,0.474672584
Nop17l,-0.211086267,6.814779029,0.243717962,0.475280165
CG2540,-0.338285783,4.402266002,0.24380175,0.475345591
maf-S,-0.216619592,6.636413373,0.244050354,0.475732273
CheB93b,1.105679319,3.994106843,0.244104865,0.475740522
CG31229,-0.366120229,4.182594221,0.244260082,0.475931541
CG34250,-0.359184813,4.167401969,0.244313361,0.475931541
CG2982,-0.337385527,4.402311376,0.244353776,0.475931541
CG12075,-0.271865495,5.354657587,0.244414062,0.47595099
dpr12,-0.235463373,6.032011856,0.244498772,0.475974533
CG8778,0.293200752,5.111869195,0.24452676,0.475974533
mip120,-0.332075352,4.724231614,0.244704334,0.476222215
CR44069,-0.539711227,0.20343565,0.244880091,0.47645713
Ns4,-0.33752969,5.450201184,0.244962567,0.47645713
CG32650,0.471254887,0.650274575,0.245023519,0.47645713
Fadd,0.385199059,3.640929885,0.245026463,0.47645713
dpr21,-0.324863305,4.848847469,0.24536221,0.477011965
l(2)09851,0.46202842,4.291481348,0.245506136,0.477155605
CheA86a,1.390381415,2.719164787,0.245536952,0.477155605
dpr20,-0.229454956,6.132305076,0.245644371,0.477242826
Alg-2,-0.22321619,6.385138797,0.24568271,0.477242826
CR44429,0.402372698,1.586325518,0.245812171,0.477396298
CG32191,0.299590912,5.008078332,0.246061314,0.477782095
CG10904,0.37517597,4.190414484,0.246197981,0.477949384
CG10949,-0.348650451,4.221365521,0.24637937,0.478165126
l(3)72Dr,0.423275581,1.517551992,0.246420586,0.478165126
CG2926,0.293798367,7.017108271,0.24651081,0.478165126
CR46139,0.446551407,0.884385772,0.246511254,0.478165126
CR42862,-0.241421922,11.3192794,0.246988061,0.478953239
ND-15,-0.19329238,7.41071122,0.247018791,0.478953239
yellow-d2,-0.402658549,2.145537448,0.247143192,0.479061991
Spt5,0.314779299,6.391655017,0.24717614,0.479061991
Kul,-0.220344319,6.534557047,0.247301434,0.479206669
CG8159,-0.3935578,2.8939819,0.247398784,0.47922109
Usp7,0.260922188,7.307848511,0.24741017,0.47922109
MED15,0.376308935,5.249809889,0.24753427,0.479363338
Csk,0.199353172,7.659383232,0.247586822,0.479366996
Hip1,0.314736127,5.42036857,0.247656432,0.479403674
Vta1,-0.199094878,6.941431486,0.247739381,0.479466154
nvd,0.445296573,2.111558691,0.247977827,0.479603205
VhaM9.7-c,0.282081442,5.266831137,0.248041865,0.479603205
CG12012,0.268534198,5.567636633,0.248043038,0.479603205
PVRAP,0.359494934,3.961739934,0.248093867,0.479603205
mRpS21,-0.309340372,4.821865479,0.248109116,0.479603205
CG43322,-0.378103089,3.280713003,0.248114319,0.479603205
Ocrl,-0.228750853,6.169874822,0.248220515,0.479710481
CG6470,0.43196068,0.946561445,0.248433101,0.48002328
key,-0.230090761,6.610286122,0.24901726,0.481053759
CG33523,-0.202225507,6.973751352,0.249257535,0.481372928
l(2)k09848,0.462479681,4.48123023,0.249284226,0.481372928
Psc,0.469563765,3.373512189,0.249368417,0.481437249
l(1)G0045,0.38990063,1.947881795,0.249679573,0.481939642
CG4424,0.428103418,2.54668673,0.250057902,0.48257146
Rbm13,0.485390493,4.611458452,0.25013777,0.482627158
PCB,-0.192326917,7.81192221,0.25042313,0.483073845
mir-986,-0.485566309,0.458623765,0.250471389,0.483073845
CG3568,0.379900898,2.659996457,0.250634291,0.483289518
Or85e,-0.499144909,2.419195761,0.250860382,0.483537187
Dsp1,0.218312674,6.889242916,0.250874866,0.483537187
CG8111,-0.312216859,4.762183066,0.250981875,0.483537187
CG6179,0.479953139,3.883902548,0.250989941,0.483537187
angel,-0.37638424,3.522232337,0.251018248,0.483537187
vimar,0.316395702,4.87194065,0.251230447,0.483847443
kdn,-0.205121336,10.33739285,0.251607027,0.484474093
CG13067,0.388185786,2.311581239,0.25168388,0.484523473
CG4820,0.386332204,3.419809518,0.251956991,0.48495058
CG34124,0.417955358,1.867690437,0.252127341,0.485179765
NC2alpha,-0.364842585,3.72964566,0.252204454,0.485229473
drl,-0.389981986,2.92263785,0.25229818,0.485275205
CG3348,0.389301391,4.04355947,0.252330798,0.485275205
CG7564,-0.233616837,6.375386647,0.252389729,0.485289903
per,-0.379907431,5.529975442,0.252686176,0.485761194
frac,0.505067923,0.752845583,0.252753313,0.485791559
CG16812,0.384701542,5.130712266,0.252836283,0.485852338
robl,0.230198266,6.223024763,0.252955495,0.48598272
mats,0.341283818,5.148195543,0.253109931,0.486120377
B52,0.237328668,8.376610504,0.253129898,0.486120377
Ptp36E,-0.318018453,4.813467807,0.253315998,0.486379054
Mtr4,0.512991299,4.614040139,0.253629889,0.486882939
CG6201,0.603604264,2.45990095,0.253981293,0.48745862
Cyp18a1,0.457476893,0.573746596,0.254037692,0.487467987
ND-ACP,-0.188137962,7.727942576,0.254250177,0.487746732
CG11679,0.372926947,3.811217814,0.254286052,0.487746732
CG1371,0.258731991,5.531373219,0.254584328,0.488219886
Taf1,0.302246813,6.428583507,0.254699299,0.488341391
mdy,-0.255639223,6.164354055,0.254780589,0.488398284
Gos28,0.341815162,4.904007705,0.255279878,0.489230018
T3dh,0.370254686,2.742365106,0.255317885,0.489230018
Tor,-0.229184805,6.135731178,0.255481609,0.489402691
Arl4,-0.20623176,7.099170369,0.255553091,0.489402691
wmd,0.282882507,6.027060147,0.255617134,0.489402691
Br140,0.316821633,4.910873096,0.255647866,0.489402691
Sbf,0.283205184,5.144859094,0.255666614,0.489402691
Sur-8,-0.256454781,5.879933148,0.255824272,0.489573741
CG32221,-0.29456666,4.974191085,0.255868947,0.489573741
CG43143,0.247630056,5.946707542,0.255911194,0.489573741
nahoda,-0.200955621,6.998718897,0.256352083,0.490318054
mir-9381,-0.431835045,1.050794154,0.256421416,0.490351543
CG31957,0.400456772,3.520618858,0.25674238,0.490866115
CG17834,-0.206871399,6.801062645,0.256929365,0.491109538
CG11583,0.481445483,4.723016371,0.256973507,0.491109538
CG9586,0.335226369,5.20228185,0.257094552,0.491241651
armi,-0.358024066,3.846930921,0.257212658,0.491319269
CdsA,-0.19272125,7.427347245,0.257400748,0.491319269
RpS12,0.19868989,9.303061148,0.257441084,0.491319269
cactin,0.362536338,4.996546947,0.257453461,0.491319269
CG13999,-0.367383992,3.351856964,0.257472127,0.491319269
tth,0.237808585,5.903991232,0.257492327,0.491319269
mus201,-0.360167028,3.744613338,0.257498653,0.491319269
CG17454,-0.228319773,6.790391879,0.25788667,0.491960418
daw,0.273933618,5.561642823,0.258030356,0.492135302
CG30159,-0.250028077,5.716549517,0.258094769,0.492158949
CG3534,0.321605515,4.582958813,0.258155578,0.492175716
mtg,0.294354215,4.910894674,0.258325316,0.492400108
tud,0.190854222,8.571012357,0.2584481,0.492534929
SpdS,-0.381091659,2.531376062,0.258579023,0.492685203
Gba1b,0.415147306,2.185486928,0.258875107,0.493150043
CG17219,0.436878732,1.987746088,0.258961555,0.493215426
Haspin,0.323587788,5.755963125,0.259041088,0.493267615
gw,0.249258885,8.527909223,0.259247059,0.493560497
Phb2,-0.194577155,7.367536506,0.25931947,0.49359904
CG3448,0.43422523,2.498359481,0.259508986,0.493792817
CG8993,-0.212180912,6.467041764,0.259535048,0.493792817
Slmap,0.32564906,6.717143321,0.259577835,0.493792817
dsd,0.223938564,6.140176644,0.259676164,0.493880576
C3G,0.222986078,6.40409639,0.259975546,0.494350606
Su(P),-0.262023535,5.387018653,0.26057032,0.495220002
CG6805,0.2074295,6.80019587,0.260629017,0.495220002
pum,0.260113244,6.901738872,0.260698259,0.495220002
stmA,-0.186340118,7.486365389,0.260704293,0.495220002
Gr66a,-0.461618817,0.925085907,0.260725776,0.495220002
CG3529,-0.216240473,6.272549401,0.260768673,0.495220002
Pmm45A,0.288003344,6.003368641,0.260799119,0.495220002
CG4849,0.342197014,4.674314825,0.260928486,0.495366238
l(1)G0334,-0.188420633,8.96108892,0.261414362,0.496189107
eIF4AIII,0.288817439,6.349133589,0.261490066,0.496233254
Dcr-1,0.387900464,4.137227567,0.261822627,0.496676029
del,0.343424941,4.067716863,0.261828369,0.496676029
Taf12,0.227308662,6.494295031,0.262009094,0.496919232
Chi,0.367799811,5.787067265,0.26211557,0.497021549
CG42326,0.275319636,5.204475162,0.26230769,0.497286188
eas,0.187228093,8.340909842,0.262565714,0.497544857
dmt,0.305240037,4.746953207,0.262583334,0.497544857
CG9547,0.363454115,3.31695494,0.262601883,0.497544857
CG13933,-0.262277378,5.485064098,0.262856474,0.49789996
CG14882,-0.374814087,3.226476729,0.262894547,0.49789996
CG8435,0.492464737,4.141674746,0.263104172,0.498197253
CG14526,0.255249745,5.750860485,0.26349274,0.498792372
FAM21,-0.346087985,4.00679432,0.263523892,0.498792372
CG6329,0.186825398,8.750547635,0.263803382,0.499100157
Ef1alpha100E,-0.188149836,8.850882675,0.263834584,0.499100157
cm,0.321989921,5.050838934,0.263844746,0.499100157
e(y)3,0.292320502,6.627435724,0.264149825,0.499577382
bchs,-0.227787314,6.046188815,0.264296237,0.499684737
CG8270,-0.330347032,4.333397671,0.264312208,0.499684737
CG9485,-0.369910253,4.09493367,0.264467165,0.499877809
sd,0.211734954,6.534439009,0.264538875,0.499913489
CG18870,-0.345464932,4.130610262,0.264934239,0.500531335
CG33941,0.379775909,4.855421098,0.264971619,0.500531335
CG10262,-0.349027353,3.899373272,0.265097212,0.500576076
CG31803,-0.379124087,2.154015654,0.265101112,0.500576076
MSBP,-0.183765529,8.904511231,0.265192342,0.500648431
CG6388,0.325847281,4.37015686,0.265401877,0.500878027
mRpL12,-0.264257394,5.334978979,0.265419829,0.500878027
cep290,-0.279850496,5.158521808,0.26548154,0.500894582
CkIIbeta,-0.194279139,7.240106924,0.265749258,0.501299737
CG3756,-0.360084299,3.583386714,0.265892166,0.501469339
sowah,0.267412946,5.494470085,0.266197879,0.501945862
Sra-1,0.251930164,6.153560779,0.266273948,0.501989261
CG2116,0.383755397,4.835279308,0.266583442,0.502340226
CstF-64,0.462190176,3.935445704,0.266584783,0.502340226
GABA-B-R3,0.363679834,2.670930434,0.266619384,0.502340226
Tace,-0.269737533,5.189027908,0.266710264,0.50241141
LSm7,0.321606863,4.509214123,0.267012389,0.502880419
CG8617,0.324584114,4.866873839,0.267228166,0.503186649
CG15117,0.348838592,3.870783394,0.26728483,0.503193207
Nmdmc,-0.341064409,4.011207113,0.26766769,0.503813742
Rab2,-0.181861175,7.983905015,0.267779048,0.503923101
CG32243,0.353903013,4.921658945,0.267991383,0.504123063
GckIII,-0.230086207,5.899783818,0.267991863,0.504123063
CG5969,-0.320676149,4.616526802,0.268089661,0.504204651
Nup93-2,0.452175087,3.811542714,0.26814181,0.504204651
disco,0.319759324,4.406052599,0.268259192,0.504299713
CR43906,-0.397492661,1.214936049,0.26829896,0.504299713
CR43704,0.478539821,0.250219999,0.268434622,0.504454497
Xpd,0.343521547,3.964542773,0.268671039,0.504798524
rump,0.26715052,7.305370407,0.268950908,0.50522404
Mys45A,0.320489258,5.079662449,0.269070223,0.505252496
CG17068,0.324439969,4.51658146,0.269098019,0.505252496
CG11586,0.367616152,4.419069681,0.26912625,0.505252496
CG12121,0.263341276,6.375639325,0.269575359,0.505906964
CG32521,-0.181451299,8.94355684,0.269589658,0.505906964
Dhod,0.289468512,5.364822491,0.269635259,0.505906964
lectin-46Cb,-0.379460055,2.821920582,0.269945262,0.506388197
CG32196,-0.358805462,3.298321993,0.270108628,0.506519102
CG15019,-0.272265728,5.273759352,0.270122108,0.506519102
CG5267,-0.441507656,0.92814171,0.270241131,0.506628642
CG12975,-0.328181193,4.252004937,0.270335306,0.506628642
CG17680,0.28951694,5.332615665,0.270341155,0.506628642
CG4896,-0.22816509,6.11205383,0.270524467,0.506871783
CG8237,-0.319884207,4.658828503,0.270725804,0.507053402
CG18067,0.196654332,10.02112821,0.270728576,0.507053402
Snoo,0.313588165,4.604890839,0.270948859,0.507365546
Rcd1,0.294496466,6.489589538,0.271211551,0.507756964
pelo,-0.265496266,5.202708238,0.271288346,0.50778358
Tig,0.451497017,2.464842072,0.271333099,0.50778358
CG18815,-0.188463374,7.395246432,0.271584074,0.508152761
Hs3st-B,0.356019823,2.851697228,0.272051684,0.508927052
CG12158,0.814439957,5.913677555,0.272250152,0.509197656
CG4645,-0.27592494,5.063053402,0.272333034,0.509252009
janA,0.30351858,5.383325893,0.272499844,0.509460307
MRP,0.193643367,8.979115432,0.272552111,0.509460307
Brf,0.330480414,4.677339055,0.272792432,0.509754701
CG7857,0.386245201,3.008883668,0.272817354,0.509754701
CG43693,-0.183021916,8.475765474,0.272957524,0.509915912
ave,0.366785369,4.101037647,0.273136069,0.510148733
CG30419,0.366989545,2.425155138,0.273852432,0.511308228
Ubr3,-0.2046063,6.551417804,0.273864944,0.511308228
CG9240,-0.261733379,5.262643518,0.273961574,0.511387732
Sxl,-0.186193489,7.803148943,0.274411698,0.512010315
Pp2C1,0.254504316,5.763656082,0.274483322,0.512010315
CG9410,-0.280224229,4.977702131,0.274490448,0.512010315
CG4854,0.359601634,2.173867336,0.274574637,0.512010315
Cyp308a1,-0.205103018,8.844495156,0.274639111,0.512010315
CG3909,0.342987237,4.517576952,0.274655378,0.512010315
PI31,-0.194211779,6.861788402,0.274673891,0.512010315
HDAC6,-0.193365879,6.833891413,0.274807003,0.512140784
CG7130,0.366181196,2.819630287,0.274852135,0.512140784
RpS23,0.221964108,9.444329494,0.274912079,0.512151623
Nmnat,-0.247005242,5.588221349,0.275357218,0.51287992
Hrb87F,0.242648803,7.577639199,0.275436601,0.51292681
CG31694,-0.190690896,6.902815271,0.275524236,0.512989044
CG7692,0.375876154,4.84217481,0.275774031,0.513317938
ced-6,0.194539459,8.594184648,0.275809385,0.513317938
wdb,-0.178287534,8.28921904,0.275914184,0.513411997
CG8230,0.214608059,6.252339618,0.27611178,0.51367866
nub,-0.26468185,5.20065098,0.276235131,0.513807118
Dpit47,0.265219952,5.275959927,0.276564044,0.514286035
Tango6,0.373322312,4.194616107,0.276601314,0.514286035
Dlip1,0.371588263,2.217503334,0.276724821,0.514414589
CG11444,0.26930356,6.47535312,0.276924376,0.514584851
PIG-S,-0.326647319,4.277734346,0.276925181,0.514584851
kermit,0.384580343,3.796246787,0.277279869,0.515104693
dnt,0.403352554,3.383229519,0.277313814,0.515104693
Ubr1,-0.193323936,7.311019587,0.277576897,0.515492169
RpL27A,0.206111691,9.780025374,0.277741669,0.515696953
mRpS25,-0.322277007,4.628043678,0.2782775,0.516405504
CG31855,-0.30145057,4.72525367,0.278344362,0.516405504
CG11656,0.380758164,1.874282084,0.27845452,0.516405504
CG12659,0.553119828,2.714355152,0.278469048,0.516405504
CG16782,0.38478955,2.351007926,0.278541407,0.516405504
CG13255,0.27394731,5.230530092,0.278620001,0.516405504
CG32767,0.310293337,5.786722146,0.278654203,0.516405504
Ir100a,0.43229165,0.728862067,0.278700808,0.516405504
CG13502,0.312117073,4.636628155,0.278706429,0.516405504
CG5348,-0.45722167,0.869609626,0.278733079,0.516405504
EndoB,0.233148455,6.069028436,0.278763493,0.516405504
wap,0.355106285,6.05524839,0.278778198,0.516405504
Arp5,-0.305955851,5.000691744,0.278965971,0.516652187
CG17931,0.298275076,5.393116918,0.279147084,0.516835495
CG6136,-0.358451528,2.74193641,0.279189589,0.516835495
bip1,0.363409476,2.361558623,0.279228815,0.516835495
RIOK2,-0.353108587,3.402221971,0.279379796,0.517013814
CG4603,-0.235491244,5.684250261,0.279659675,0.517430553
Hmt4-20,-0.207118435,6.687452537,0.279809814,0.517607127
vig,-0.188739199,7.341262909,0.279903962,0.517680079
RpS27,0.195006618,9.117359074,0.280264008,0.518244683
CG34353,0.33296955,4.045368776,0.280431729,0.518453501
Hat1,0.43048298,5.219868777,0.28058531,0.518598472
Arpc1,0.197608327,6.686612568,0.280619761,0.518598472
Cul3,-0.196095037,6.694738281,0.280912808,0.51899042
CG8388,-0.33226765,4.081731228,0.280941549,0.51899042
Mrp4,0.232332894,5.723724852,0.281202223,0.519370572
galla-2,0.231588516,5.780926975,0.281440823,0.51970981
St1,0.412255772,0.987206416,0.281508399,0.519733165
CG9934,-0.227719941,5.945096295,0.281789928,0.520084738
Strn-Mlck,0.219830248,6.575482646,0.281810247,0.520084738
CR45182,-0.391737894,3.856608359,0.281863722,0.520084738
mthl14,0.50693299,0.088028884,0.282065611,0.52032687
CG6791,0.269351871,5.914856306,0.28210493,0.52032687
CG13604,-0.314256497,4.475977806,0.282354785,0.520686216
SLIRP2,-0.349071735,3.621291117,0.282482119,0.520768053
ERp60,0.239925022,8.623383732,0.282509239,0.520768053
Spn28Dc,0.233154428,5.956376476,0.28261329,0.520858386
Nna1,-0.224044708,6.414780937,0.282771718,0.52104888
CG3817,0.406985815,3.744217298,0.282937251,0.521252389
alpha-Est8,-0.211986108,7.890360109,0.283184295,0.521605957
CR46035,0.447071611,1.921607323,0.283528683,0.522138654
CG18537,0.684078748,2.595903306,0.28359947,0.522167384
CG4495,0.224398068,6.155716484,0.283771153,0.522355781
vir,0.320485973,5.012955665,0.283812203,0.522355781
Cks85A,0.349013415,3.722391785,0.284003005,0.522585171
CG6055,0.347947316,3.736251144,0.284047298,0.522585171
CG5516,0.416548526,4.159537024,0.284450274,0.523224824
RpL21,0.195270089,9.990546383,0.284763383,0.523698956
hook,-0.204993995,6.573770078,0.284850147,0.52373246
CG33213,0.393643507,2.687164599,0.284913665,0.52373246
SerRS-m,-0.320603357,4.204278967,0.284947654,0.52373246
CG6852,-0.243843575,5.560137294,0.285070736,0.523856925
Flo2,0.182514182,7.054395174,0.285367616,0.524161728
RpLP1,0.18766154,9.476094691,0.285391058,0.524161728
CG5676,-0.189724965,7.081855174,0.285402793,0.524161728
CG14860,-0.398931742,1.365521354,0.285559703,0.5242509
CG9890,0.35655074,3.98248548,0.285562158,0.5242509
CG12129,0.401834817,4.809675003,0.285772528,0.524535337
Klp68D,-0.182924621,7.326772382,0.28623972,0.525290969
CG10019,0.344477372,2.383849317,0.286303061,0.525305326
l(3)neo38,-0.204226964,6.427448526,0.28645315,0.525420298
CG31817,-0.390207655,2.039238913,0.286476783,0.525420298
Hers,-0.215089081,6.184776255,0.286705651,0.525738152
CG4806,0.360772785,5.057821934,0.287114458,0.526385778
CG8569,0.428201084,4.293437956,0.287342942,0.526702619
wit,0.214101354,6.341366495,0.287527052,0.526849549
pps,-0.224641394,5.905653988,0.287534461,0.526849549
CG32982,0.24889269,5.502702904,0.287660857,0.526979096
CG5009,-0.179851233,7.933289771,0.288087477,0.527658479
CG42741,0.467727217,0.270649534,0.288331889,0.528003935
Rab21,-0.278854391,4.885438648,0.288443422,0.528105971
CG7927,0.264930066,6.083140886,0.288921509,0.528825865
Rpn13,-0.18730616,6.935402244,0.288948396,0.528825865
Rheb,-0.188731511,7.092137306,0.289229679,0.529238295
RpIII128,-0.310205685,4.438082426,0.289423177,0.529438032
Prosalpha4,0.266600944,6.931686683,0.289450744,0.529438032
RpL8,0.196104525,9.892983589,0.289549249,0.529469909
CG42258,0.180074475,7.64604666,0.289580086,0.529469909
Edg78E,-0.453725292,0.530390952,0.289784494,0.529741283
Irp-1B,-0.184786491,7.259243668,0.290069289,0.530159476
CG10420,-0.316499627,4.220127046,0.290229097,0.530349115
upSET,0.247850915,6.787463631,0.290354495,0.530475813
oys,0.188219823,6.977534871,0.290798236,0.53118396
CG5938,-0.182615082,6.926508175,0.290863088,0.531199872
dos,0.250158179,5.289414056,0.290937454,0.531233151
CheA84a,0.578315658,2.859204125,0.291079913,0.531384406
egl,0.184203417,6.889437831,0.291134187,0.531384406
Hey,-0.470923984,0.426641317,0.29118877,0.531384406
TBCB,0.323839209,5.420647553,0.291304037,0.531492249
CG2034,0.322869938,4.679982723,0.291683145,0.532081342
CG9948,0.447791142,3.266637356,0.29208207,0.53270635
CG32428,0.20562625,6.341258527,0.29229312,0.532847527
CR40640,0.407204573,1.723094509,0.292296362,0.532847527
Socs44A,0.252092426,5.199351372,0.29232842,0.532847527
CG13749,-0.443055448,0.240265499,0.292395294,0.532866771
Gpi1,0.366476285,3.533864151,0.292540593,0.532978413
BRWD3,0.313050783,6.240952069,0.292569211,0.532978413
Eno,-0.178502271,10.18277114,0.292732685,0.532981847
CG18622,-0.274176837,5.075655382,0.292775831,0.532981847
CG2469,0.215358652,6.134842426,0.292795736,0.532981847
CG14812,0.276660234,5.029110278,0.292883529,0.532981847
CG8915,0.381820459,3.684508141,0.292905439,0.532981847
CR45195,-0.431418557,0.065924877,0.292912649,0.532981847
CG7694,-0.315041421,4.295090013,0.293013027,0.532981847
CG15445,-0.253512407,5.42352076,0.293021726,0.532981847
CG10889,0.348318902,2.932097455,0.293358715,0.533492247
Gyc88E,0.484543416,0.271601802,0.293457959,0.533531879
CG1774,0.322373936,4.219462093,0.293493282,0.533531879
QC,0.255816613,5.291835707,0.293873944,0.534121257
CG9902,-0.358441313,3.739311001,0.293988202,0.534226305
CG14442,-0.185125952,6.9329054,0.294178825,0.534470054
bsk,-0.186098564,7.174318878,0.294360425,0.534606682
CG6428,-0.30470036,4.49911486,0.294367027,0.534606682
Tango13,0.247720157,5.348068273,0.294551347,0.534838773
CR45597,-0.45145953,0.858495493,0.294612633,0.534847416
Mtpalpha,0.199868801,7.285880469,0.294765468,0.535004834
PIG-U,0.325894598,4.548282175,0.294852971,0.535004834
Inos,-0.182529903,7.39509643,0.294868972,0.535004834
RtcB,-0.245305143,5.37027951,0.29525908,0.535609934
CG4287,0.203613443,6.355805925,0.29544084,0.535784786
CG17565,0.309073165,4.665738575,0.295468718,0.535784786
CG8963,0.191403443,6.918278524,0.295807808,0.536192122
Nprl3,-0.296116094,4.55534049,0.295908614,0.536192122
CG3160,-0.277160319,4.959185007,0.295922835,0.536192122
RhoGAP16F,-0.341358694,3.195736423,0.295932406,0.536192122
CG8501,-0.432323901,0.623443688,0.295976692,0.536192122
RpLP2,0.229245042,9.324213167,0.296083847,0.536268285
Ras85D,0.240952023,6.697405356,0.296132085,0.536268285
Fur1,0.171049969,7.705818651,0.296335469,0.536533909
Fbw5,0.362377595,3.95012755,0.296512479,0.536751688
CG1815,0.282968878,6.196386931,0.296695423,0.536980125
CG45050,0.173724638,8.693312567,0.296785679,0.537040752
Nup44A,0.265992766,5.086285563,0.296911849,0.537152346
14-3-3zeta,-0.173515895,10.41231248,0.296960888,0.537152346
CG2023,-0.310816674,4.287389002,0.297191954,0.537467558
CG18278,0.412554938,1.207071366,0.297284775,0.537532684
CG14629,0.395129398,3.516376099,0.297373638,0.537590631
CG1647,0.388745268,4.481808171,0.297459047,0.537642311
CG4230,-0.185943577,6.84078749,0.297737994,0.538043717
CG3770,0.345515583,4.353300404,0.297905087,0.538242875
ewg,-0.206181525,6.287819846,0.297963517,0.538245667
ArfGAP3,0.245974304,6.13914562,0.298034245,0.538270667
CG5613,0.338566436,2.609445608,0.298654413,0.539287796
Mgat2,-0.187110202,6.821453147,0.298725179,0.539308425
Mlh1,0.348520245,2.183488165,0.298780182,0.539308425
Ide,-0.176644272,7.405072662,0.298843688,0.539308425
CG9248,-0.248000352,5.556828774,0.298893826,0.539308425
dpr14,0.421196136,0.69520842,0.29935945,0.540045589
GlcAT-S,-0.179832092,7.25969422,0.299530103,0.540197318
pn,-0.276893813,4.831648318,0.299557739,0.540197318
CR42254,0.343013178,3.144609077,0.299923152,0.540753213
CG9422,-0.318766539,4.102678458,0.300272847,0.541145359
Atg13,0.242448662,5.363641515,0.300299808,0.541145359
CR45175,0.431756763,0.203123088,0.300312226,0.541145359
Gcn5,0.248245178,6.13476823,0.300403339,0.541206472
CG9391,-0.215975604,5.890300783,0.300527204,0.541222462
CG6761,-0.206383086,6.147820987,0.300572498,0.541222462
Mpcp,0.172483137,10.26562926,0.300583813,0.541222462
CG40472,-0.348356636,3.800412189,0.300688926,0.541308717
CG4447,0.447706407,3.543587642,0.30089808,0.541458991
RpS3,0.198181046,9.660655116,0.300927885,0.541458991
CG18549,-0.209948083,6.02605327,0.300944075,0.541458991
CR44809,0.429397194,0.932516889,0.301309161,0.541961555
CG12338,0.300650473,4.389930951,0.301344707,0.541961555
CR45999,0.375622368,1.440099348,0.301395234,0.541961555
fws,0.296788984,5.655875139,0.301719244,0.542393614
CG42748,0.185200378,6.908992351,0.301750157,0.542393614
yps,-0.169192814,8.278725366,0.301994852,0.542652238
CG2278,-0.308489515,4.404599614,0.302008739,0.542652238
Ddx1,-0.266742811,4.925854085,0.302069549,0.542658454
CG33970,-0.170569792,9.624873551,0.302127547,0.542659615
CG13114,-0.487414356,0.687388293,0.302254245,0.542784146
CCDC53,-0.350314587,3.475107388,0.302600782,0.543303339
CG3104,0.180891047,7.715553453,0.303280775,0.544420924
Ho,-0.219090242,5.854495975,0.303437295,0.544598574
spt4,0.429891807,3.757482594,0.304122236,0.545724369
CR31044,0.551336257,2.906477913,0.304211771,0.545781527
SREBP,-0.180843605,8.335070216,0.304451223,0.546069083
CG5823,-0.202598913,6.175933236,0.304487474,0.546069083
CG32647,0.182496999,7.324118105,0.304548386,0.54607482
Rae1,0.309837909,4.646052454,0.304674647,0.546127801
CG18812,0.167427642,8.906631594,0.304693369,0.546127801
stum,-0.282437579,4.748637427,0.304906672,0.546327776
Spred,-0.178952479,6.9059131,0.3049229,0.546327776
CG1463,0.322799905,4.632798792,0.305005049,0.546327776
chb,0.219721742,6.076559753,0.305035895,0.546327776
mrj,0.250989141,6.669487074,0.305104583,0.546347382
Ada2a,-0.325744917,3.809907611,0.305234484,0.546457562
CG5641,-0.251236826,5.16732118,0.305281619,0.546457562
Ir62a,-0.347250306,2.312673386,0.305495372,0.546700109
Gr47b,-0.425608799,0.450708023,0.305583028,0.546700109
Vamp7,0.191113648,6.65550243,0.305622791,0.546700109
Teh3,-0.332547352,4.077279049,0.305662277,0.546700109
TpnC4,0.422049864,0.984205438,0.305706011,0.546700109
Spn55B,-0.269518092,4.881145575,0.306036619,0.547187922
CG3961,-0.176907543,8.398351753,0.306187928,0.547279581
lsn,-0.263847526,4.939313071,0.306203562,0.547279581
CG3499,0.202231792,6.187294547,0.306346978,0.547346117
CG32645,0.420360427,0.233532656,0.306356483,0.547346117
mRpL14,-0.294673522,4.697160594,0.306614585,0.547661275
Zyx,-0.17926858,7.30587642,0.306733818,0.547661275
Mhcl,0.195558152,6.596725273,0.3068008,0.547661275
Lcch3,-0.408149304,1.306459824,0.306813878,0.547661275
Cyp4p3,-0.338876413,3.521930998,0.306822281,0.547661275
Prosap,0.177959874,7.034685748,0.306922289,0.547736458
Arpc5,0.262384836,5.015692762,0.307239908,0.548199889
Toll-7,-0.32141787,4.074651655,0.307340728,0.548225698
Uhg4,-0.341259303,3.431265529,0.307370252,0.548225698
RpL37a,0.180180354,9.655445344,0.307511311,0.548373922
CG6364,-0.217794637,5.779631446,0.307774921,0.548740589
