Chromosome,GeneID,TandemID,Rank
10,Or5-9E250,13,365
10,Or5-9E251,13,366
10,Or5-ZA1,15,367
10,Or5-9E254,16,368
10,Or5-9E255,17,369
10,Or5-9E256,17,370
10,Or5-9E257,17,371
10,Or5-9E258,17,372
10,Or5-9E259,17,373
10,Or5-9E260,17,374
10,Or5-9E261,17,375
10,Or5-9E263,17,376
10,Or5-9E267,17,377
10,Or5-9E268,17,378
10,Or5-9E269,17,379
10,Or5-9E270,17,380
10,Or5-9E271,17,381
10,Or5-9E272,17,382
10,Or5-9E273,17,383
10,Or5-9E274,17,384
10,Or5-9E275,17,385
10,Or5-9E276,17,386
10,Or5-9E277,17,387
10,Or5-9E278,17,388
10,Or5-9E279,17,389
10,Or5-9E280,17,390
10,Or5-9E281,17,391
10,Or5-9E283,17,392
10,Or5-9E284,17,393
10,Or5-9E285,17,394
10,Or5-9E286,17,395
10,Or5-9E287,17,396
10,Or5-9E288,17,397
10,Or5-9E289,17,398
10,Or5-9E290,17,399
10,Or5-9E291,17,400
10,Or5-9E292,17,401
10,Or5-9E293,17,402
10,Or5-9E294,17,403
10,Or5-9E295,17,404
10,Or5-9E296,17,405
10,Or5-9E297,17,406
10,Or5-9E298,17,407
10,Or5-9E299,17,408
10,Or5-9E300,17,409
10,Or5-9E301,17,410
10,Or5-9E302,17,411
10,Or5-9E303,17,412
10,Or5-9E304,17,413
10,Or5-9E305,17,414
10,Or5-9E306,17,415
10,Or5-9E307,17,416
10,Or5-9E308,17,417
10,Or5-9E309,17,418
10,Or5-9E310,17,419
10,Or5-9E311,17,420
10,Or5-9E312,17,421
10,Or5-9E313,17,422
10,Or5-9E315,17,423
10,Or5-9E316,17,424
10,Or5-9E317,17,425
10,Or5-9E318,17,426
10,Or5-9E319,17,427
10,Or5-9E320,17,428
10,Or5-9E321,17,429
10,Or5-9E322,17,430
10,Or5-9E323,17,431
10,Or5-9E324,17,432
10,Or5-9E325,17,433
10,Or5-9E326,17,434
10,Or5-9E327,17,435
10,Or5-9E328,17,436
10,Or5-9E329,17,437
10,Or5-9E330,17,438
10,Or5-9E331,17,439
10,Or5-9E332,17,440
10,Or5-9E333,17,441
10,Or5-9E334,17,442
10,Or5-9E335,17,443
10,Or5-9E336,17,444
10,Or5-9E337,17,445
10,Or5-9E338,17,446
10,Or5-9E339,17,447
10,Or5-9E340,17,448
10,Or5-9E342,17,449
10,Or5-9E343,17,450
11,Or5-F1,8,451
11,Or5-E20,9,452
11,Or5-E21,9,453
11,Or5-E22,10,454
11,Or5-E23,10,455
11,Or5-E24,10,456
11,Or5-E25,10,457
11,Or5-E26,10,458
11,Or5-9E353,11,459
11,Or5-9E344,11,460
11,Or5-9E345,11,461
11,Or5-9E346,11,462
11,Or5-9E347,11,463
11,Or5-9E348,11,464
11,Or5-9E349,11,465
12,Or5-I1,2,466
12,Or5-K1,3,467
12,Or5-K2,3,468
12,Or5-L2,3,469
12,Or5-L3,3,470
12,Or5-L4,3,471
12,Or5-L5,3,472
12,Or5-L6,3,473
12,Or5-L7,3,474
12,Or5-L8,3,475
12,Or5-L9,3,476
12,Or5-L10,3,477
12,Or5-L11,3,478
12,Or5-L12,3,479
12,Or5-L13,3,480
12,Or5-L14,3,481
12,Or5-L15,3,482
12,Or5-L16,3,483
12,Or5-L18,3,484
12,Or5-L20,3,485
12,Or5-L22,3,486
12,Or5-L23,3,487
12,Or5-L25,3,488
12,Or5-L26,3,489
12,Or5-L27,3,490
12,Or5-L28,3,491
12,Or5-L29,3,492
12,Or5-L30,3,493
12,Or5-L31,3,494
12,Or5-L32,3,495
12,Or5-L33,3,496
12,Or5-L34,3,497
12,Or5-L35,3,498
12,Or5-9E350,5,499
12,Or5-9E351,6,500
12,Or5-9Efrag3,7,501
14,Or5-9E352,18,502
